Thread ID:126, Weight:100, Matrix Size:256
Thread ID:127, Weight:100, Matrix Size:256

Thread(id:12, group:0) finished (TIME : 0 s and 2349 us)
Thread(id:28, group:0) finished (TIME : 0 s and 2641 us)
Thread(id:32, group:0) finished (TIME : 0 s and 3286 us)
Thread(id:36, group:0) finished (TIME : 0 s and 3322 us)
Thread(id:40, group:0) finished (TIME : 0 s and 3773 us)
Thread(id:44, group:0) finished (TIME : 0 s and 4933 us)
Thread(id:48, group:0) finished (TIME : 0 s and 5578 us)
Thread(id:52, group:0) finished (TIME : 0 s and 5595 us)
Thread(id:60, group:0) finished (TIME : 0 s and 7663 us)
Thread(id:56, group:0) finished (TIME : 0 s and 10651 us)
Thread(id:64, group:0) finished (TIME : 0 s and 25764 us)
Thread(id:76, group:0) finished (TIME : 0 s and 27258 us)
Thread(id:72, group:0) finished (TIME : 0 s and 28891 us)
Thread(id:80, group:0) finished (TIME : 0 s and 45830 us)
Thread(id:92, group:0) finished (TIME : 0 s and 47022 us)
Thread(id:68, group:0) finished (TIME : 0 s and 48689 us)
Thread(id:88, group:0) finished (TIME : 0 s and 50799 us)
Thread(id:84, group:0) finished (TIME : 0 s and 80418 us)
Thread(id:104, group:0) finished (TIME : 1 s and 18446744073708857696 us)
Thread(id:120, group:0) finished (TIME : 1 s and 18446744073708912645 us)
Thread(id:25, group:1) finished (TIME : 1 s and 18446744073708912955 us)
Thread(id:41, group:1) finished (TIME : 1 s and 18446744073708915194 us)
Thread(id:57, group:1) finished (TIME : 1 s and 18446744073708917488 us)
Thread(id:73, group:1) finished (TIME : 1 s and 18446744073708934362 us)
Thread(id:124, group:0) finished (TIME : 1 s and 18446744073708935448 us)
Thread(id:112, group:0) finished (TIME : 1 s and 18446744073708946784 us)
Thread(id:89, group:1) finished (TIME : 1 s and 18446744073708952070 us)
Thread(id:108, group:0) finished (TIME : 1 s and 18446744073708954075 us)
Thread(id:13, group:1) finished (TIME : 1 s and 18446744073708954409 us)
Thread(id:29, group:1) finished (TIME : 1 s and 18446744073708954695 us)
Thread(id:45, group:1) finished (TIME : 1 s and 18446744073708957106 us)
Thread(id:61, group:1) finished (TIME : 1 s and 18446744073708959459 us)
Thread(id:17, group:1) finished (TIME : 1 s and 18446744073708963920 us)
Thread(id:33, group:1) finished (TIME : 1 s and 18446744073708966241 us)
Thread(id:49, group:1) finished (TIME : 1 s and 18446744073708968546 us)
Thread(id:93, group:1) finished (TIME : 1 s and 18446744073708983215 us)
Thread(id:65, group:1) finished (TIME : 1 s and 18446744073708991576 us)
Thread(id:81, group:1) finished (TIME : 1 s and 18446744073709010999 us)
Thread(id:21, group:1) finished (TIME : 1 s and 18446744073709175897 us)
Thread(id:37, group:1) finished (TIME : 1 s and 18446744073709178155 us)
Thread(id:77, group:1) finished (TIME : 1 s and 18446744073709178721 us)
Thread(id:53, group:1) finished (TIME : 1 s and 18446744073709180392 us)
Thread(id:69, group:1) finished (TIME : 1 s and 18446744073709223794 us)
Thread(id:121, group:1) finished (TIME : 1 s and 18446744073709226289 us)
Thread(id:85, group:1) finished (TIME : 1 s and 18446744073709254838 us)
Thread(id:105, group:1) finished (TIME : 1 s and 18446744073709271465 us)
Thread(id:26, group:2) finished (TIME : 1 s and 18446744073709271912 us)
Thread(id:42, group:2) finished (TIME : 1 s and 18446744073709274196 us)
Thread(id:58, group:2) finished (TIME : 1 s and 18446744073709276590 us)
Thread(id:74, group:2) finished (TIME : 1 s and 18446744073709293282 us)
Thread(id:90, group:2) finished (TIME : 1 s and 18446744073709311505 us)
Thread(id:125, group:1) finished (TIME : 1 s and 18446744073709350422 us)
Thread(id:109, group:1) finished (TIME : 1 s and 18446744073709355675 us)
Thread(id:14, group:2) finished (TIME : 1 s and 18446744073709355968 us)
Thread(id:30, group:2) finished (TIME : 1 s and 18446744073709356246 us)
Thread(id:113, group:1) finished (TIME : 1 s and 18446744073709358313 us)
Thread(id:46, group:2) finished (TIME : 1 s and 18446744073709358490 us)
Thread(id:62, group:2) finished (TIME : 1 s and 18446744073709360765 us)
Thread(id:2, group:2) finished (TIME : 1 s and 18446744073709371941 us)
Thread(id:18, group:2) finished (TIME : 1 s and 18446744073709372297 us)
Thread(id:34, group:2) finished (TIME : 1 s and 18446744073709374675 us)
Thread(id:50, group:2) finished (TIME : 1 s and 18446744073709377198 us)
Thread(id:94, group:2) finished (TIME : 1 s and 18446744073709391568 us)
Thread(id:66, group:2) finished (TIME : 1 s and 18446744073709396617 us)
Thread(id:82, group:2) finished (TIME : 1 s and 18446744073709419862 us)
Thread(id:10, group:2) finished (TIME : 1 s and 18446744073709475745 us)
Thread(id:106, group:2) finished (TIME : 1 s and 21136 us)
Thread(id:78, group:2) finished (TIME : 1 s and 38995 us)
Thread(id:122, group:2) finished (TIME : 1 s and 75986 us)
Thread(id:11, group:3) finished (TIME : 1 s and 77174 us)
